name,lat,lon,region,tortuosity_ratio,horizon_exposure,enclosedness_rays,enclosedness_combined,flushing_rate
CA-C-080,35.8078,-121.3934,CA-C,1.1275546062849344,0.4861111111111111,0.5138888888888888,0.288833096015678,0.5775985160679279
CA-C-081,35.7354,-121.3454,CA-C,1.1231724688378049,0.5,0.5,0.2807931172094512,0.5837892997487226
CA-C-088,35.2007,-120.8544,CA-C,1.1322499633014373,0.4583333333333333,0.5416666666666667,0.3038958241586927,0.5660002153978066
CA-C-089,35.1525,-120.772,CA-C,1.1712087779242717,0.4027777777777778,0.5972222222222222,0.34141330559217903,0.5371117546940222
CA-C-091,35.0002,-120.6505,CA-C,1.2358896593925652,0.3611111111111111,0.6388888888888888,0.3784168592925857,0.508619018344709
CA-C-093,34.8369,-120.6319,CA-C,1.2474889195650705,0.4166666666666667,0.5833333333333333,0.35353889655793425,0.5277750496503906
CA-C-097,34.5196,-120.5324,CA-C,1.2201712264993023,0.4166666666666667,0.5833333333333333,0.3467094732914922,0.5330337055655511
CA-S-010,34.0674,-119.0327,CA-S,1.143041760000171,0.4861111111111111,0.5138888888888888,0.29270488444448717,0.5746172389777449
CA-S-011,34.06176136129718,-119.81689453125001,CA-S,1.3489399650352036,0.2222222222222222,0.7777777777777778,0.4761238801476898,0.4333846122862789
CA-S-025,33.9593,-119.8238,CA-S,1.3192149985705446,0.4444444444444444,0.5555555555555556,0.35758152742041394,0.5246622238862813
CA-S-019,34.0134,-120.1884,CA-S,1.2491515902397818,0.4166666666666667,0.5833333333333333,0.3539545642266121,0.5274549855455086
CA-S-027,33.9063,-120.1637,CA-S,1.3301114555386018,0.5416666666666666,0.45833333333333337,0.31169453055131713,0.5599952114754858
CA-S-037,33.7209,-118.2349,CA-S,1.3214583286178865,0.20833333333333334,0.7916666666666666,0.47619791548780493,0.4333276050743903
BJ-003,32.4032,-117.2475,BJ,1.0821898017505824,0.4722222222222222,0.5277777777777778,0.2844363393265345,0.5809840187185684
BJ-004,32.2221,-116.9357,BJ,1.0920785712860275,0.3888888888888889,0.6111111111111112,0.32857519837706245,0.5469970972496621
BJ-009,31.5352,-116.6707,BJ,1.1258347207901764,0.5694444444444444,0.4305555555555556,0.2467364579753219,0.6100129273590021
BJ-011,30.9623,-116.348,BJ,1.0548283950206585,0.5555555555555556,0.4444444444444444,0.23592932097738684,0.6183344228474121
BJ-016,29.6164,-115.5103,BJ,1.0657316645358919,0.5138888888888888,0.48611111111111116,0.25948847168952854,0.6001938767990631
BJ-018,28.8206,-114.516,BJ,1.1431718435152396,0.5555555555555556,0.4444444444444444,0.2580151831010321,0.6013283090122052
BJ-023,27.8585,-114.4501,BJ,1.5249455350095273,0.3888888888888889,0.6111111111111112,0.4367919393079374,0.4636702067328883
BJ-028,27.1374,-114.3512,BJ,1.269941072079733,0.4861111111111111,0.5138888888888888,0.3244297124643777,0.5501891214024291
SS-S-042,48.012,-122.33,SS-S,1.469167203881053,0.0,1.0,0.6172918009702633,0.32468531325289735
SS-S-047,47.9292,-122.3657,SS-S,1.4395524706014111,0.0,1.0,0.6098881176503528,0.3303861494092284
SS-S-050,47.8749,-122.341,SS-S,1.4253935234508823,0.0,1.0,0.6063483808627206,0.33311174673570515
SS-S-045,47.9936,-122.2284,SS-S,1.333251043834345,0.0,1.0,0.5833127609585862,0.35084917406188865
SS-S-039,48.0625,-122.3012,SS-S,1.460321706415225,0.0,1.0,0.6150804266038062,0.3263880715150692
SS-S-036,48.1212,-122.3657,SS-S,1.6388996577398651,0.0,1.0,0.6597249144349663,0.292011815885076
SS-S-033,48.2073,-122.4358,SS-S,2.206736461178559,0.0,1.0,0.8016841152946398,0.18270323122312737
JDF-006,48.4492,-122.9837,JDF,1.3777360490607657,0.06944444444444445,0.9305555555555556,0.5597117900429692,0.3690219216669137
JDF-004,48.4957,-123.0029,JDF,1.593187720417257,0.0,1.0,0.6482969301043142,0.30081136381967805
JDF-005,48.4584,-123.0441,JDF,1.5453576553093509,0.08333333333333333,0.9166666666666666,0.594672747160671,0.34210198468628333
SS-S-089,47.13181932754414,-122.76397705078126,SS-S,1.7024540785083175,0.0,1.0,0.6756135196270794,0.2797775898871489
JDF-002,48.5148,-123.1664,JDF,1.565622938492405,0.05555555555555555,0.9444444444444444,0.6136279568453235,0.327506473229101
SS-S-025,48.5811,-123.1856,SS-S,1.5446861563565457,0.05555555555555555,0.9444444444444444,0.6083937613113586,0.3315368037902539
SS-S-018,48.6229,-123.1622,SS-S,1.4277075775367483,0.0,1.0,0.606926894384187,0.332666291324176
SS-S-019,48.6075,-123.0949,SS-S,1.5152615191678276,0.0,1.0,0.6288153797919569,0.3158121575601932
SS-S-015,48.6864,-123.0524,SS-S,1.4038479350979316,0.0,1.0,0.6009619837744828,0.33725927249364823
SS-S-012,48.7254,-123.0469,SS-S,1.4262254742395801,0.0,1.0,0.606556368559895,0.3329515962088808
SS-S-017,48.6583,-123.1622,SS-S,1.368661997633249,0.027777777777777776,0.9722222222222222,0.5782766105194234,0.354727009900044
SS-S-014,48.6973,-123.2281,SS-S,1.4675573537515612,0.0,1.0,0.6168893384378903,0.3249952094028245
SS-S-026,48.5503,-122.6569,SS-S,1.4635113168499347,0.05555555555555555,0.9444444444444444,0.5881000514347059,0.34716296039527644
SS-S-028,48.4738,-122.5209,SS-S,2.054039592670246,0.0,1.0,0.7635098981675615,0.21209737841097764
SS-S-029,48.4647,-122.6761,SS-S,1.6236895603719002,0.05555555555555555,0.9444444444444444,0.6281446123151972,0.31632864851729814
SS-S-011,48.7335,-122.6308,SS-S,1.2524096318459836,0.0,1.0,0.5631024079614959,0.3664111458696482
SS-S-021,48.593,-122.4605,SS-S,1.5233777388442675,0.0,1.0,0.6308444347110669,0.3142497852724785
SS-S-023,48.5839,-123.3614,SS-S,1.4796606907864474,0.08333333333333333,0.9166666666666666,0.5782485060299452,0.35474865035694225
SS-S-016,48.6656,-123.382,SS-S,1.4049996343988091,0.06944444444444445,0.9305555555555556,0.5665276863774801,0.36377368148934036
SS-S-010,48.7354,-123.5687,SS-S,1.4892570306344992,0.0,1.0,0.6223142576586248,0.3208180216028589
SS-S-007,48.7987,-123.3833,SS-S,1.3564207394238885,0.0,1.0,0.5891051848559721,0.3463890076609015
SS-S-006,48.8177,-123.1567,SS-S,1.4205814689670104,0.125,0.875,0.5426453672417526,0.3821630672238505
SS-S-003,48.9144,-123.4946,SS-S,1.4276255340667818,0.0,1.0,0.6069063835166955,0.33268208469214455
SS-S-002,48.9568,-123.7184,SS-S,1.2955167576878996,0.0,1.0,0.5738791894219749,0.35811302414507934
SS-N-029,49.0999,-123.7733,SS-N,1.2266000776138157,0.013888888888888888,0.9861111111111112,0.5497055749590095,0.37672670728156266
SS-S-004,48.8792,-123.5934,SS-S,1.6248567545148132,0.0,1.0,0.6562141886287033,0.2947150747558985
SS-S-001,48.991,-122.823,SS-S,1.3212563613304644,0.0,1.0,0.580314090332616,0.35315815044388565
SS-N-030,49.0721,-123.1938,SS-N,1.2395130350544012,0.08333333333333333,0.9166666666666666,0.5182115920969337,0.4009770740853611
SS-N-026,49.2391,-123.2666,SS-N,1.2218774891385995,0.125,0.875,0.4929693722846499,0.42041358334081963
SS-N-023,49.3081,-123.213,SS-N,1.312064294276383,0.06944444444444445,0.9305555555555556,0.5432938513468735,0.3816637344629074
SS-N-021,49.3752,-123.5042,SS-N,1.2856275300356135,0.1527777777777778,0.8472222222222222,0.4950179936200145,0.41883614491258886
SS-N-025,49.2759,-124.0755,SS-N,1.240632658654799,0.1527777777777778,0.8472222222222222,0.4837692757748109,0.42749765765339565
JDF-009,48.3453,-123.8269,JDF,1.3825755699334537,0.1111111111111111,0.8888888888888888,0.5400883369278078,0.384131980565588
JDF-007,48.4438,-124.1785,JDF,1.367758468769004,0.125,0.875,0.5294396171922511,0.3923314947619667
JDF-003,48.513,-124.4614,JDF,1.1906799629323943,0.2361111111111111,0.7638888888888888,0.429614435177543,0.46919688491329187
BC-C-037,48.6202,-124.8322,BC-C,1.0984477941343807,0.4305555555555556,0.5694444444444444,0.3093341707558174,0.5618126885180207
BC-C-036,48.7109,-125.1288,BC-C,1.0932667608426505,0.5277777777777778,0.4722222222222222,0.25942780132177373,0.6002405929822343
BC-C-034,48.9117,-125.4584,BC-C,1.4005275322803494,0.4444444444444444,0.5555555555555556,0.37790966084786515,0.5090095611471438
BC-C-032,49.0883,-125.95,BC-C,1.8943732549498467,0.5555555555555556,0.4444444444444444,0.4458155359596839,0.4567220373110435
BC-C-030,49.2284,-126.1697,BC-C,2.196749753468307,0.4861111111111111,0.5138888888888888,0.5561318828115211,0.37177845023512873
BC-C-029,49.3359,-126.3977,BC-C,2.124614615464589,0.4722222222222222,0.5277777777777778,0.545042542755036,0.3803172420786223
BC-C-028,49.5252,-126.6202,BC-C,2.213410610481014,0.4166666666666667,0.5833333333333333,0.5950193192869201,0.3418351241490715
BC-C-027,49.665850145713975,-126.9085693359375,BC-C,1.935593648673913,0.5138888888888888,0.48611111111111116,0.4769539677240338,0.43274544485249405
BC-C-025,49.9565,-127.3563,BC-C,1.8821977067534295,0.4444444444444444,0.5555555555555556,0.49832720446613515,0.416288052561076
BC-C-026,49.8575,-126.925,BC-C,2.2904507149822266,0.1111111111111111,0.8888888888888888,0.7670571231900011,0.20936601514369918
BC-C-024,50.1118,-127.6804,BC-C,1.8449024174735282,0.3333333333333333,0.6666666666666667,0.5445589377017155,0.3806896179696791
BC-C-023,50.3157,-127.8809,BC-C,1.8529018715190362,0.2916666666666667,0.7083333333333333,0.5673921345464257,0.36310805639925225
BC-C-021,50.4977,-127.7161,BC-C,2.464895004312484,0.0,1.0,0.866223751078121,0.13300771166984685
BC-C-013,50.7729,-128.4824,BC-C,1.144049033085281,0.7083333333333334,0.29166666666666663,0.18184559160465358,0.6599788944644168
SS-N-002,50.5693,-124.9557,SS-N,1.7387487294101025,0.0,1.0,0.6846871823525256,0.27279086958855536
SS-N-003,50.3735,-124.7086,SS-N,1.6958744364524179,0.0,1.0,0.6739686091131045,0.28104417098290957
SS-N-005,50.1787,-124.6536,SS-N,1.6367081341739234,0.0,1.0,0.6591770335434808,0.2924336841715198
BC-C-022,50.3717,-125.7083,BC-C,1.9569934915988327,0.0,1.0,0.7392483728997081,0.23077875286722474
BC-C-010,50.929,-126.5323,BC-C,1.5853588567048846,0.0,1.0,0.6463397141762212,0.3023184200843097
BC-C-009,50.9307,-127.7985,BC-C,1.3139298650276534,0.25,0.75,0.45348246625691335,0.45081850098217674
BC-C-014,50.7486,-127.4689,BC-C,1.7392190286928806,0.041666666666666664,0.9583333333333334,0.6639714238398868,0.28874200364328717
BC-C-012,50.8649,-128.1528,BC-C,1.2493150442567125,0.375,0.625,0.3748287610641781,0.511381853980583
BC-C-006,51.2877,-127.7435,BC-C,1.2657030451678222,0.2916666666666667,0.7083333333333333,0.4205924279586222,0.47614383047186093
BC-C-007,51.1725,-127.804,BC-C,1.1693958263912483,0.3888888888888889,0.6111111111111112,0.34790451215336765,0.5321135256419068
BC-N-041,52.2143,-127.8246,BC-N,1.6728339598369193,0.0,1.0,0.6682084899592298,0.28547946273139313
BC-N-060,52.0348,-127.9152,BC-N,1.526146982287823,0.013888888888888888,0.9861111111111112,0.6245923011275114,0.3190639281318162
SS-N-016,49.5484,-124.0302,SS-N,1.298243121085383,0.027777777777777776,0.9722222222222222,0.5606718913824569,0.3682826436355082
SS-N-013,49.6374,-124.1208,SS-N,1.340557634124126,0.041666666666666664,0.9583333333333334,0.5643060751976983,0.3654843220977723
SS-N-018,49.5074,-124.4119,SS-N,1.2724165050938976,0.06944444444444445,0.9305555555555556,0.5333819040512522,0.38929593388053585
SS-N-011,49.6552,-124.5053,SS-N,1.3467366119481092,0.041666666666666664,0.9583333333333334,0.565850819653694,0.36429486886665563
SS-N-010,49.8114,-124.0356,SS-N,1.4489606381699915,0.0,1.0,0.6122401595424979,0.3285750771522767
SS-N-006,50.0959,-123.7912,SS-N,1.7895876108181423,0.0,1.0,0.6973969027045356,0.2630043849175076
SS-N-014,49.6214,-123.7967,SS-N,2.4080611138306436,0.0,1.0,0.8520152784576609,0.14394823558760111
SS-N-008,49.9282,-124.7058,SS-N,1.27427746201614,0.0,1.0,0.5685693655040349,0.3622015885618931
SS-N-009,49.8628,-125.0574,SS-N,1.543397971158002,0.05555555555555555,0.9444444444444444,0.6080717150117227,0.3317847794409735
SS-N-012,49.6481,-124.8843,SS-N,1.7280205548338723,0.013888888888888888,0.9861111111111112,0.6750606942640236,0.2802032654167018
BC-C-011,50.8753,-127.2766,BC-C,1.4875578023033769,0.1388888888888889,0.8611111111111112,0.5524450061313998,0.3746173452788222
BC-N-027,52.7429,-129.3036,BC-N,1.1847424843991312,0.4027777777777778,0.5972222222222222,0.3447967322108939,0.5345065161976117
BC-N-024,53.028,-129.7485,BC-N,1.1910007403603817,0.5,0.5,0.29775018509009543,0.5707323574806266
BC-N-017,53.321,-129.7375,BC-N,1.2882131543846211,0.027777777777777776,0.9722222222222222,0.5581643997072664,0.37021341222540494
BC-N-011,53.7292,-130.4956,BC-N,1.2143677414486274,0.3333333333333333,0.6666666666666667,0.3869252686954902,0.5020675431044725
BC-N-009,53.9916,-130.7153,BC-N,1.1749367468510952,0.4444444444444444,0.5555555555555556,0.3215119644905516,0.5524357873422753
BC-N-003,54.4221,-130.8691,BC-N,1.1238912326773598,0.375,0.625,0.34347280816933995,0.5355259377096083
BC-N-016,53.3571,-131.8799,BC-N,1.6879601438937537,0.4027777777777778,0.5972222222222222,0.47060114708454953,0.43763711674489697
BC-N-010,53.7747,-131.8579,BC-N,1.4768334368644158,0.4305555555555556,0.5694444444444444,0.40393058143832616,0.48897345229248884
BC-N-020,53.1995,-131.7206,BC-N,1.6852777293053258,0.4722222222222222,0.5277777777777778,0.43520832121522035,0.46488959266428037
BC-N-012,53.7032,-133.1104,BC-N,1.5587755380776152,0.5138888888888888,0.48611111111111116,0.38274944007495937,0.5052829311422813
BC-N-026,52.8492,-132.3413,BC-N,2.5169518690525843,0.5555555555555556,0.4444444444444444,0.6014601894853683,0.33687565409626646
BC-N-030,52.6431,-128.9355,BC-N,1.441942055499718,0.06944444444444445,0.9305555555555556,0.5757632916527073,0.35666226542741536
